Eid,Affiliation
2-s2.0-85048339597,60030788
2-s2.0-85048339597,60006321
2-s2.0-85048339597,60025272
2-s2.0-85048339597,60028190
2-s2.0-85046767864,60028190
2-s2.0-85048454397,60028190
2-s2.0-85048454397,60032653
2-s2.0-85048454397,60017246
2-s2.0-85048454397,60116085
2-s2.0-85049811148,60028190
2-s2.0-85049811148,60018809
2-s2.0-85068087218,60007864
2-s2.0-85068087218,60023402
2-s2.0-85068087218,60028190
2-s2.0-85060970184,60028190
2-s2.0-85047990353,60028190
2-s2.0-85047990353,114469201
2-s2.0-85054780572,60028190
2-s2.0-85050047736,60028190
2-s2.0-85081145208,60028190
2-s2.0-85081145208,60012718
2-s2.0-85055877820,60006314
2-s2.0-85055877820,60091516
2-s2.0-85055877820,60028190
2-s2.0-85043522994,60028190
2-s2.0-85043522994,60011189
2-s2.0-85043522994,60022183
2-s2.0-85043522994,60199578
2-s2.0-85043522994,60013939
2-s2.0-85045678212,60028190
2-s2.0-85055149780,60022148
2-s2.0-85055149780,60027142
2-s2.0-85055149780,60071676
2-s2.0-85055149780,60071691
2-s2.0-85055149780,60033774
2-s2.0-85055149780,60016218
2-s2.0-85055149780,60072805
2-s2.0-85055149780,60072796
2-s2.0-85055149780,60002620
2-s2.0-85055149780,60032250
2-s2.0-85055149780,60000881
2-s2.0-85047186632,60070862
2-s2.0-85047186632,60025205
2-s2.0-85041471953,60106137
2-s2.0-85041471953,60028190
2-s2.0-85042415428,60028190
2-s2.0-85042415428,60031828
2-s2.0-85042415428,60020195
2-s2.0-85042415428,60003771
2-s2.0-85053448002,60023691
2-s2.0-85053448002,60022183
2-s2.0-85053448002,60011284
2-s2.0-85053448002,109716592
2-s2.0-85053448002,112774514
2-s2.0-85063387692,60028190
2-s2.0-85039741431,60028190
2-s2.0-85039721209,60028190
2-s2.0-85053662303,60070862
2-s2.0-85053662303,60025205
2-s2.0-85055671330,60001416
2-s2.0-85055671330,60028190
2-s2.0-85055671330,60013789
2-s2.0-85055671330,60012718
2-s2.0-85049408729,60022570
2-s2.0-85049408729,120932288
2-s2.0-85049408729,60028190
2-s2.0-85046681387,60028190
2-s2.0-85060496074,60028190
2-s2.0-85060496074,122021262
2-s2.0-85043451547,60028190
2-s2.0-85041663017,60028190
2-s2.0-85041663017,60008734
2-s2.0-85027198855,60028190
2-s2.0-85064718907,60070862
2-s2.0-85064718907,60025205
2-s2.0-85050336797,60028190
